Instance Name,	 brkga-1 Value,	 brkga-1 Time,	 brkga-4 Value,	 brkga-4 Time,	 brkga-8 Value,	 brkga-8 Time,	 cuda-host1 Value,	 cuda-host1 Time,	 cuda-host4 Value,	 cuda-host4 Time,	 cuda-host8 Value,	 cuda-host8 Time
scp41.txt.result,	 430.00, 36.06, 430.00, 19.80, 430.00, 16.91, 429.00, 46.55, 429.00, 13.70, 429.00, 10.88
scp42.txt.result,	 512.00, 36.88, 512.00, 19.65, 512.00, 17.00, 512.00, 46.83, 512.00, 13.66, 512.00, 10.86
scp43.txt.result,	 516.00, 36.21, 516.00, 19.53, 516.00, 16.46, 516.00, 47.19, 516.00, 13.86, 516.00, 11.13
scp44.txt.result,	 494.00, 37.52, 494.00, 19.90, 494.00, 17.13, 494.00, 47.81, 494.00, 13.98, 494.00, 11.15
scp45.txt.result,	 512.00, 36.54, 512.00, 19.79, 512.00, 16.78, 512.00, 46.64, 512.00, 13.71, 512.00, 10.80
scp46.txt.result,	 560.00, 37.92, 560.00, 19.79, 560.00, 17.10, 560.00, 48.73, 560.00, 14.23, 560.00, 11.20
scp47.txt.result,	 430.00, 36.33, 430.00, 19.59, 430.00, 16.61, 430.00, 45.58, 430.00, 13.42, 430.00, 10.57
scp48.txt.result,	 492.00, 35.76, 492.00, 19.37, 492.00, 16.59, 492.00, 46.07, 492.00, 13.26, 492.00, 10.58
scp49.txt.result,	 641.00, 40.09, 641.00, 20.29, 641.00, 17.69, 644.00, 50.95, 644.00, 14.71, 644.00, 11.81
scp51.txt.result,	 253.00, 58.30, 253.00, 32.17, 253.00, 28.98, 253.00, 66.45, 253.00, 19.47, 253.00, 15.86
scp52.txt.result,	 302.00, 61.05, 302.00, 32.72, 302.00, 29.38, 305.00, 69.03, 305.00, 20.12, 305.00, 16.19
scp53.txt.result,	 226.00, 58.91, 226.00, 32.36, 226.00, 29.21, 226.00, 67.62, 226.00, 19.66, 226.00, 16.04
scp54.txt.result,	 242.00, 60.72, 242.00, 32.67, 242.00, 29.27, 242.00, 67.88, 242.00, 19.85, 242.00, 16.08
scp55.txt.result,	 211.00, 57.06, 211.00, 32.40, 211.00, 28.68, 211.00, 66.71, 211.00, 19.61, 211.00, 15.96
scp56.txt.result,	 213.00, 59.51, 213.00, 32.36, 213.00, 28.99, 213.00, 68.55, 213.00, 19.84, 213.00, 16.06
scp57.txt.result,	 293.00, 59.87, 293.00, 32.80, 293.00, 29.23, 293.00, 70.25, 293.00, 20.43, 293.00, 16.40
scp58.txt.result,	 288.00, 62.03, 288.00, 32.92, 288.00, 29.51, 288.00, 70.76, 288.00, 20.42, 288.00, 16.46
scp59.txt.result,	 279.00, 59.23, 279.00, 32.70, 279.00, 29.31, 279.00, 68.24, 279.00, 19.98, 279.00, 16.14
scp61.txt.result,	 138.00, 40.79, 138.00, 19.20, 138.00, 17.62, 138.00, 48.15, 138.00, 13.70, 138.00, 11.00
scp62.txt.result,	 146.00, 41.39, 146.00, 19.17, 146.00, 17.77, 146.00, 48.87, 146.00, 13.86, 146.00, 11.17
scp63.txt.result,	 145.00, 39.85, 145.00, 18.99, 145.00, 17.38, 145.00, 46.80, 145.00, 13.37, 145.00, 10.68
scp64.txt.result,	 131.00, 40.79, 131.00, 19.12, 131.00, 17.66, 131.00, 47.46, 131.00, 13.55, 131.00, 10.86
scp65.txt.result,	 161.00, 42.98, 161.00, 19.55, 161.00, 18.14, 161.00, 50.47, 161.00, 14.20, 161.00, 11.58
